id,어코드,노트명,이미지URL
1,Aromatic,건초,https://fimgs.net/mdimg/sastojci/t.395.jpg?1733161265
2,Aromatic,다바나,https://fimgs.net/mdimg/sastojci/t.907.jpg?1763745316
3,Aromatic,딜,https://fimgs.net/mdimg/sastojci/t.240.jpg?1733161261
4,Aromatic,라벤더,https://fimgs.net/mdimg/sastojci/t.1.jpg?1733161259
5,Aromatic,로즈마리,https://fimgs.net/mdimg/sastojci/t.49.jpg?1733161265
6,Aromatic,마조람,https://fimgs.net/mdimg/sastojci/t.260.jpg?1733161261
7,Aromatic,마테,https://fimgs.net/mdimg/sastojci/t.48.jpg?1733161265
8,Aromatic,말차,https://fimgs.net/mdimg/sastojci/t.1001.jpg?1733161257
9,Aromatic,바질,https://fimgs.net/mdimg/sastojci/t.119.jpg?1733161258
10,Aromatic,세이지,https://fimgs.net/mdimg/sastojci/t.52.jpg?1733161265
11,Aromatic,쑥,https://fimgs.net/mdimg/sastojci/t.369.jpg?1733161264
12,Aromatic,아르테미시아,https://fimgs.net/mdimg/sastojci/t.47.jpg?1733161265
13,Aromatic,안젤리카,https://fimgs.net/mdimg/sastojci/t.44.jpg?1733161265
14,Aromatic,압생트,https://fimgs.net/mdimg/sastojci/t.717.jpg?1733161266
15,Aromatic,얼 그레이 티,https://fimgs.net/mdimg/sastojci/t.733.jpg?1733161266
16,Aromatic,이모르텔,https://fimgs.net/mdimg/sastojci/t.12.jpg?1733161258
17,Aromatic,주니퍼,https://fimgs.net/mdimg/sastojci/t.142.jpg?1733161258
18,Aromatic,주니퍼 베리,https://fimgs.net/mdimg/sastojci/t.143.jpg?1733161259
19,Aromatic,진,https://fimgs.net/mdimg/sastojci/t.299.jpg?1733161262
20,Aromatic,차,https://fimgs.net/mdimg/sastojci/t.106.jpg?1733161258
21,Aromatic,캐모마일,https://fimgs.net/mdimg/sastojci/t.289.jpg?1733161262
22,Aromatic,쿠마린,https://fimgs.net/mdimg/sastojci/t.259.jpg?1733161261
23,Aromatic,클라리 세이지,https://fimgs.net/mdimg/sastojci/t.164.jpg?1733161259
24,Aromatic,타라곤,https://fimgs.net/mdimg/sastojci/t.93.jpg?1733161266
25,Aromatic,타임,https://fimgs.net/mdimg/sastojci/t.97.jpg?1733161266
26,Aromatic,팔마로사,https://fimgs.net/mdimg/sastojci/t.508.jpg?1733161265
27,Aromatic,펜넬,https://fimgs.net/mdimg/sastojci/t.398.jpg?1733161265
28,Aromatic,히솝,https://fimgs.net/mdimg/sastojci/t.426.jpg?1733161265
29,Citrus,귤,https://fimgs.net/mdimg/sastojci/t.85.jpg?1733161266
30,Citrus,금귤,https://fimgs.net/mdimg/sastojci/t.81.jpg?1733161266
31,Citrus,네롤리,https://fimgs.net/mdimg/sastojci/t.17.jpg?1733161259
32,Citrus,라임,https://fimgs.net/mdimg/sastojci/t.78.jpg?1733161266
33,Citrus,레몬,https://fimgs.net/mdimg/sastojci/t.77.jpg?1733161266
34,Citrus,레몬 나무,https://fimgs.net/mdimg/sastojci/t.381.jpg?1733161264
35,Citrus,레몬 버베나,https://fimgs.net/mdimg/sastojci/t.120.jpg?1733161258
36,Citrus,레몬 제스트,https://fimgs.net/mdimg/sastojci/t.788.jpg?1733161266
37,Citrus,레몬그라스,https://fimgs.net/mdimg/sastojci/t.358.jpg?1733161264
38,Citrus,리몬첼로,https://fimgs.net/mdimg/sastojci/t.440.jpg?1733161265
39,Citrus,리체아 쿠베바,https://fimgs.net/mdimg/sastojci/t.529.jpg?1733161265
40,Citrus,만다린 오렌지,https://fimgs.net/mdimg/sastojci/t.82.jpg?1733161266
41,Citrus,베르가못,https://fimgs.net/mdimg/sastojci/t.75.jpg?1733161266
42,Citrus,블러드 오렌지,https://fimgs.net/mdimg/sastojci/t.286.jpg?1733161262
43,Citrus,비터 오렌지,https://fimgs.net/mdimg/sastojci/t.79.jpg?1733161266
44,Citrus,쁘띠그레인,https://fimgs.net/mdimg/sastojci/t.3.jpg?1733161265
45,Citrus,시트러스,https://fimgs.net/mdimg/sastojci/t.313.jpg?1733161263
46,Citrus,시트론,https://fimgs.net/mdimg/sastojci/t.373.jpg?1733161264
47,Citrus,아페롤,https://fimgs.net/mdimg/sastojci/t.1660.jpg?1739362057
48,Citrus,오렌지,https://fimgs.net/mdimg/sastojci/t.80.jpg?1733161266
