향수ID,향수명,브랜드명,어코드명,비율
10806,Lust,Lush,Floral,100
10806,Lust,Lush,Sweet,44
10806,Lust,Lush,Woody,27
4367,Karma,Lush,Woody,100
4367,Karma,Lush,Spicy,55
4367,Karma,Lush,Citrus,45
4367,Karma,Lush,Aromatic,39
4367,Karma,Lush,Resinous,25
4367,Karma,Lush,Sweet,22
4367,Karma,Lush,Earthy/Smoky,21
29173,Lord of Misrule,Lush,Woody,100
29173,Lord of Misrule,Lush,Spicy,92
29173,Lord of Misrule,Lush,Sweet,80
29173,Lord of Misrule,Lush,Resinous,35
29173,Lord of Misrule,Lush,Earthy/Smoky,34
10798,American Cream,Lush,Sweet,100
10798,American Cream,Lush,Resinous,16
88995,Sticky Dates,Lush,Sweet,100
88995,Sticky Dates,Lush,Resinous,65
88995,Sticky Dates,Lush,Spicy,31
88995,Sticky Dates,Lush,Woody,28
60072,Let The Good Times Roll,Lush,Sweet,100
60072,Let The Good Times Roll,Lush,Spicy,34
8130,Vanillary,Lush,Sweet,100
8130,Vanillary,Lush,Floral,28
8130,Vanillary,Lush,Resinous,22
72229,Turmeric Latte Perfume,Lush,Sweet,100
72229,Turmeric Latte Perfume,Lush,Resinous,78
72229,Turmeric Latte Perfume,Lush,Spicy,54
13716,Breath Of God,Lush,Resinous,100
13716,Breath Of God,Lush,Spicy,100
13716,Breath Of God,Lush,Woody,88
13716,Breath Of God,Lush,Fresh,81
13716,Breath Of God,Lush,Aromatic,64
13716,Breath Of God,Lush,Earthy/Smoky,50
13716,Breath Of God,Lush,Citrus,43
11734,Dirty,Lush,Green,100
11734,Dirty,Lush,Aromatic,85
11734,Dirty,Lush,Spicy,56
11734,Dirty,Lush,Floral,40
97106,Chelsea Morning,Lush,Sweet,100
97106,Chelsea Morning,Lush,Citrus,37
97106,Chelsea Morning,Lush,Aromatic,26
97106,Chelsea Morning,Lush,Spicy,20
58865,Snow Fairy,Lush,Sweet,100
58865,Snow Fairy,Lush,Fruity,19
63243,Rose Jam 2019,Lush,Floral,100
63243,Rose Jam 2019,Lush,Sweet,50
63243,Rose Jam 2019,Lush,Fruity,40
63243,Rose Jam 2019,Lush,Citrus,37
63243,Rose Jam 2019,Lush,Aromatic,35
63243,Rose Jam 2019,Lush,Spicy,33
57035,Twilight Body Spray,Lush,Sweet,100
57035,Twilight Body Spray,Lush,Floral,99
57035,Twilight Body Spray,Lush,Spicy,73
57035,Twilight Body Spray,Lush,Resinous,62
57035,Twilight Body Spray,Lush,Aromatic,51
26630,Death and Decay,Lush,Floral,100
26630,Death and Decay,Lush,Sweet,27
26630,Death and Decay,Lush,Woody,24
88991,Super Milk,Lush,Sweet,100
88991,Super Milk,Lush,Citrus,37
88991,Super Milk,Lush,Fresh,23
88991,Super Milk,Lush,Resinous,22
62550,Honey I Washed The Kids,Lush,Sweet,100
62550,Honey I Washed The Kids,Lush,Citrus,19
46804,Cardamom Coffee,Lush,Spicy,100
46804,Cardamom Coffee,Lush,Woody,88
46804,Cardamom Coffee,Lush,Earthy/Smoky,68
46804,Cardamom Coffee,Lush,Aromatic,54
57036,Rose Jam Body Spray,Lush,Floral,100
57036,Rose Jam Body Spray,Lush,Aromatic,38
57036,Rose Jam Body Spray,Lush,Citrus,36
57036,Rose Jam Body Spray,Lush,Sweet,34
57036,Rose Jam Body Spray,Lush,Spicy,30
57036,Rose Jam Body Spray,Lush,Resinous,30
17617,Sikkim Girls,Lush,Floral,100
17617,Sikkim Girls,Lush,Sweet,40
17617,Sikkim Girls,Lush,Fruity,26
13718,The Smell of Weather Turning,Lush,Green,100
13718,The Smell of Weather Turning,Lush,Woody,63
13718,The Smell of Weather Turning,Lush,Aromatic,45
13718,The Smell of Weather Turning,Lush,Spicy,37
13718,The Smell of Weather Turning,Lush,Earthy/Smoky,28
56379,Pansy,Lush,Floral,100
56379,Pansy,Lush,Aromatic,68
56379,Pansy,Lush,Citrus,60
56379,Pansy,Lush,Spicy,58
56379,Pansy,Lush,Fruity,47
56379,Pansy,Lush,Woody,44
56379,Pansy,Lush,Green,42
56379,Pansy,Lush,Sweet,42
56379,Pansy,Lush,Resinous,38
59340,Avocado Co-Wash,Lush,Citrus,100
59340,Avocado Co-Wash,Lush,Spicy,77
59340,Avocado Co-Wash,Lush,Resinous,62
59340,Avocado Co-Wash,Lush,Aromatic,55
59340,Avocado Co-Wash,Lush,Woody,43
17621,Devil's Night Cap,Lush,Woody,100
17621,Devil's Night Cap,Lush,Floral,55
17621,Devil's Night Cap,Lush,Earthy/Smoky,42
17621,Devil's Night Cap,Lush,Aromatic,37
17621,Devil's Night Cap,Lush,Spicy,27
17621,Devil's Night Cap,Lush,Sweet,26
25529,Wood Sage & Sea Salt,Jo Malone London,Fresh,100
25529,Wood Sage & Sea Salt,Jo Malone London,Aromatic,49
25529,Wood Sage & Sea Salt,Jo Malone London,Citrus,36
25529,Wood Sage & Sea Salt,Jo Malone London,Musky,34
25529,Wood Sage & Sea Salt,Jo Malone London,Green,33
25529,Wood Sage & Sea Salt,Jo Malone London,Spicy,28
25529,Wood Sage & Sea Salt,Jo Malone London,Floral,26
10314,English Pear & Freesia,Jo Malone London,Floral,100
10314,English Pear & Freesia,Jo Malone London,Fresh,69
10314,English Pear & Freesia,Jo Malone London,Sweet,68
10314,English Pear & Freesia,Jo Malone London,Fruity,52
10314,English Pear & Freesia,Jo Malone London,Musky,35
10314,English Pear & Freesia,Jo Malone London,Woody,31
10314,English Pear & Freesia,Jo Malone London,Green,30
42027,Myrrh & Tonka,Jo Malone London,Sweet,100
42027,Myrrh & Tonka,Jo Malone London,Resinous,69
42027,Myrrh & Tonka,Jo Malone London,Aromatic,28
42027,Myrrh & Tonka,Jo Malone London,Spicy,26
42027,Myrrh & Tonka,Jo Malone London,Floral,24
15134,Blackberry & Bay,Jo Malone London,Spicy,100
15134,Blackberry & Bay,Jo Malone London,Fruity,67
15134,Blackberry & Bay,Jo Malone London,Floral,60
15134,Blackberry & Bay,Jo Malone London,Aromatic,52
15134,Blackberry & Bay,Jo Malone London,Citrus,51
15134,Blackberry & Bay,Jo Malone London,Woody,47
15134,Blackberry & Bay,Jo Malone London,Sweet,39
18767,Peony & Blush Suede,Jo Malone London,Floral,100
18767,Peony & Blush Suede,Jo Malone London,Fresh,44
18767,Peony & Blush Suede,Jo Malone London,Woody,30
18767,Peony & Blush Suede,Jo Malone London,Fruity,29
18767,Peony & Blush Suede,Jo Malone London,Musky,27
12310,Wild Bluebell,Jo Malone London,Sweet,100
12310,Wild Bluebell,Jo Malone London,Musky,59
12310,Wild Bluebell,Jo Malone London,Green,57
12310,Wild Bluebell,Jo Malone London,Fresh,52
12310,Wild Bluebell,Jo Malone London,Fruity,38
12310,Wild Bluebell,Jo Malone London,Spicy,27
3782,Nectarine Blossom & Honey,Jo Malone London,Sweet,100
3782,Nectarine Blossom & Honey,Jo Malone London,Fruity,78
3782,Nectarine Blossom & Honey,Jo Malone London,Green,49
3782,Nectarine Blossom & Honey,Jo Malone London,Fresh,37
3782,Nectarine Blossom & Honey,Jo Malone London,Floral,35
5585,Lime Basil & Mandarin,Jo Malone London,Green,100
5585,Lime Basil & Mandarin,Jo Malone London,Citrus,93
5585,Lime Basil & Mandarin,Jo Malone London,Aromatic,74
5585,Lime Basil & Mandarin,Jo Malone London,Spicy,72
5585,Lime Basil & Mandarin,Jo Malone London,Woody,47
15286,Velvet Rose & Oud,Jo Malone London,Floral,100
15286,Velvet Rose & Oud,Jo Malone London,Sweet,72
15286,Velvet Rose & Oud,Jo Malone London,Woody,54
