향수ID,향수명,브랜드명,노트명,구분
10806,Lust,Lush,재스민,top
10806,Lust,Lush,일랑일랑,mid
10806,Lust,Lush,바닐라,base
10806,Lust,Lush,샌달우드,base
10806,Lust,Lush,로즈,base
4367,Karma,Lush,오렌지,top
4367,Karma,Lush,레몬그라스,top
4367,Karma,Lush,라벤더,top
4367,Karma,Lush,소나무,mid
4367,Karma,Lush,레몬,mid
4367,Karma,Lush,카시스,mid
4367,Karma,Lush,패출리,base
4367,Karma,Lush,전나무 수지,base
4367,Karma,Lush,엘레미,base
4367,Karma,Lush,시나몬,base
29173,Lord of Misrule,Lush,패출리,top
29173,Lord of Misrule,Lush,바닐라,mid
29173,Lord of Misrule,Lush,블랙 페퍼,base
10798,American Cream,Lush,바닐라 앱솔루트,top
10798,American Cream,Lush,우유,top
10798,American Cream,Lush,벤조인,mid
10798,American Cream,Lush,라벤더,mid
10798,American Cream,Lush,꿀,base
10798,American Cream,Lush,딸기,base
10798,American Cream,Lush,클라리 세이지,base
10798,American Cream,Lush,오렌지,base
88995,Sticky Dates,Lush,캐러멜,top
88995,Sticky Dates,Lush,벤조인,mid
88995,Sticky Dates,Lush,샌달우드,base
60072,Let The Good Times Roll,Lush,캐러멜,top
60072,Let The Good Times Roll,Lush,버터,mid
60072,Let The Good Times Roll,Lush,팝콘,base
60072,Let The Good Times Roll,Lush,시나몬,base
8130,Vanillary,Lush,바닐라,top
8130,Vanillary,Lush,통카빈,mid
8130,Vanillary,Lush,재스민,base
72229,Turmeric Latte Perfume,Lush,통카빈,top
72229,Turmeric Latte Perfume,Lush,바닐라,mid
72229,Turmeric Latte Perfume,Lush,강황,base
72229,Turmeric Latte Perfume,Lush,벤조인,base
13716,Breath Of God,Lush,인센스,top
13716,Breath Of God,Lush,멜론,top
13716,Breath Of God,Lush,버지니아 시더,top
13716,Breath Of God,Lush,베티버,top
13716,Breath Of God,Lush,샌달우드,mid
13716,Breath Of God,Lush,주니퍼,mid
13716,Breath Of God,Lush,블랙 페퍼,mid
13716,Breath Of God,Lush,아말피 레몬,mid
13716,Breath Of God,Lush,네롤리,base
13716,Breath Of God,Lush,자몽,base
13716,Breath Of God,Lush,일랑일랑,base
13716,Breath Of God,Lush,로즈,base
11734,Dirty,Lush,민트,top
11734,Dirty,Lush,타라곤,top
11734,Dirty,Lush,라벤더,mid
11734,Dirty,Lush,타임,mid
11734,Dirty,Lush,오크모스,base
11734,Dirty,Lush,샌달우드,base
11734,Dirty,Lush,네롤리,base
97106,Chelsea Morning,Lush,토피,top
97106,Chelsea Morning,Lush,레몬,top
97106,Chelsea Morning,Lush,바닐라,mid
97106,Chelsea Morning,Lush,통카빈,mid
97106,Chelsea Morning,Lush,호로파,base
97106,Chelsea Morning,Lush,머틀,base
58865,Snow Fairy,Lush,솜사탕,top
58865,Snow Fairy,Lush,스위트 노트,mid
58865,Snow Fairy,Lush,체리,base
58865,Snow Fairy,Lush,바닐라,base
58865,Snow Fairy,Lush,배,base
63243,Rose Jam 2019,Lush,터키 로즈,top
63243,Rose Jam 2019,Lush,로즈 오일,top
63243,Rose Jam 2019,Lush,마멀레이드,top
63243,Rose Jam 2019,Lush,레몬,mid
63243,Rose Jam 2019,Lush,스파이시 노트,mid
63243,Rose Jam 2019,Lush,제라늄,base
57035,Twilight Body Spray,Lush,라벤더,top
57035,Twilight Body Spray,Lush,통카빈,mid
57035,Twilight Body Spray,Lush,벤조인,base
57035,Twilight Body Spray,Lush,일랑일랑,base
26630,Death and Decay,Lush,일랑일랑,top
26630,Death and Decay,Lush,재스민,mid
26630,Death and Decay,Lush,통카빈,base
26630,Death and Decay,Lush,로즈,base
88991,Super Milk,Lush,리체아 쿠베바,top
88991,Super Milk,Lush,바닐라,mid
88991,Super Milk,Lush,통카빈,base
62550,Honey I Washed The Kids,Lush,토피,top
62550,Honey I Washed The Kids,Lush,꿀,top
62550,Honey I Washed The Kids,Lush,캐러멜,mid
62550,Honey I Washed The Kids,Lush,바닐라,mid
62550,Honey I Washed The Kids,Lush,브라질 오렌지,base
62550,Honey I Washed The Kids,Lush,베르가못,base
46804,Cardamom Coffee,Lush,카다멈,top
46804,Cardamom Coffee,Lush,커피,mid
